mass[GeV]	2pi	3pi	PiGamma	EtaGamma	EtaOmega	EtaPhi	PhiPi	OmegaPion	EtaPiPi	EtaPrimePiPi	4pi	6pi	KK	KKpi	KKpipi	PhiPiPi	OmPiPi	NNbar	tothad
0.1349768	0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.13598004002151695	0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.1369832800430339	0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.13798652006455084	0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.13898976008606778	0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.13999300010758473	0	0.0	1.3377172177833149e-14	0.0	0.0	0.0	0	0.0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.3377172177833149e-14
0.14099624012910167	0	0.0	5.093933064410543e-13	0.0	0.0	0.0	0	0.0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	5.093933064410543e-13
0.1419994801506186	0	0.0	2.4952137880567875e-12	0.0	0.0	0.0	0	0.0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	2.4952137880567875e-12
0.14300272017213556	0	0.0	6.9741718885780484e-12	0.0	0.0	0.0	0	0.0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	6.9741718885780484e-12
0.1440059601936525	0	0.0	1.4912757250618395e-11	0.0	0.0	0.0	0	0.0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.4912757250618395e-11
0.14500920021516944	0	0.0	2.7242612961549654e-11	0.0	0.0	0.0	0	0.0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	2.7242612961549654e-11
0.14601244023668639	0	0.0	4.486242034523171e-11	0.0	0.0	0.0	0	0.0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	4.486242034523171e-11
0.14701568025820333	0	0.0	6.86396785193897e-11	0.0	0.0	0.0	0	0.0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	6.86396785193897e-11
0.1480189202797203	0	0.0	9.941238528339665e-11	0.0	0.0	0.0	0	0.0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	9.941238528339665e-11
0.14902216030123724	0	0.0	1.3799062545433606e-10	0.0	0.0	0.0	0	0.0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.3799062545433606e-10
