mass[GeV]	e_e	mu_mu	tau_tau	neutrinos	piGamma	total
0.1	4.319330590313421e-09	0.0	0.0	6.494669966321807e-09	0.0	1.0814000556635229e-08
0.1191919191919192	5.15197570595345e-09	0.0	0.0	7.741121778040153e-09	0.0	1.2893097483993603e-08
0.1383838383838384	5.9841572907131445e-09	0.0	0.0	8.987573589758497e-09	0.0	1.497173088047164e-08
0.1575757575757576	6.81604406066301e-09	0.0	0.0	1.0234025401476827e-08	0.0	1.705006946213984e-08
0.17676767676767677	7.647731747642796e-09	0.0	0.0	1.1480477213195146e-08	0.0	1.9128208960837943e-08
0.19595959595959594	8.479278699216409e-09	0.0	0.0	1.2726929024913458e-08	0.0	2.1206207724129867e-08
0.21515151515151515	9.310722498811708e-09	0.0	0.0	1.3973380836631833e-08	0.0	2.328410333544354e-08
0.23434343434343433	1.0142088445342386e-08	0.0	0.0	1.521983264835011e-08	0.0	2.5361921093692495e-08
0.2535353535353535	1.0973394192030915e-08	0.0	0.0	1.646628446006852e-08	0.0	2.7439678652099435e-08
0.2727272727272727	1.1804652431211929e-08	0.0	0.0	1.77127362717868e-08	0.0	2.951738870299873e-08
0.2919191919191919	1.2635872522242793e-08	0.0	0.0	1.8959188083505105e-08	0.0	3.15950606057479e-08
0.3111111111111111	1.3467061517958063e-08	0.0	0.0	2.0205639895223444e-08	0.0	3.367270141318151e-08
0.3303030303030303	1.429822483384858e-08	0.0	0.0	2.14520917069418e-08	0.0	3.5750316540790376e-08
0.3494949494949495	1.5129366697073748e-08	0.0	0.0	2.2698543518660108e-08	7.612275096472426e-21	3.7827910215741466e-08
0.3686868686868686	1.5960490455414344e-08	0.0	0.0	2.3944995330378424e-08	1.1812099810343398e-18	3.9905485786973975e-08
0.3878787878787878	1.6791598794611458e-08	0.0	0.0	2.51914471420967e-08	1.3692548521919248e-17	4.19830459504007e-08
0.407070707070707	1.7622693894289627e-08	0.0	0.0	2.643789895381511e-08	6.782042650099875e-17	4.406059291592516e-08
0.42626262626262623	1.8453777541799228e-08	0.0	0.0	2.7684350765533436e-08	2.1949509978216305e-16	4.6138128526827766e-08
0.44545454545454544	1.9284851216656578e-08	0.0	0.0	2.8930802577251775e-08	5.506276847770965e-16	4.821565434453603e-08
0.46464646464646464	2.0115916154074058e-08	0.0	0.0	3.017725438897011e-08	1.1666476877512387e-15	5.029317170969186e-08
0.48383838383838385	2.0946973393382112e-08	0.0	0.0	3.142370620068837e-08	2.192964833163354e-15	5.237068178703532e-08
0.503030303030303	2.177802381537425e-08	0.0	0.0	3.2670158012406735e-08	3.771319625574566e-15	5.444818559910061e-08
0.5222222222222221	2.260906817142244e-08	0.0	0.0	3.391660982412502e-08	6.0564814035592496e-15	5.6525684052028864e-08
0.5414141414141413	2.3440107106404452e-08	1.8741407600273e-12	0.0	3.5163061635843445e-08	9.213397361628073e-15	5.860505209640529e-08
