mass[GeV]	e_e	mu_mu	tau_tau	nue_nue	numu_numu	nutau_nutau	quarks
0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.002	1.7385596029043928e-11	0.0	0.0	0.0	0.0	0.0	0.0
0.003	2.6693775323868418e-11	0.0	0.0	0.0	0.0	0.0	0.0
0.004	3.57214283460516e-11	0.0	0.0	0.0	0.0	0.0	0.0
0.005	4.469518071079948e-11	0.0	0.0	0.0	0.0	0.0	0.0
0.006	5.365274009593254e-11	0.0	0.0	0.0	0.0	0.0	0.0
0.007	6.260407761180411e-11	0.0	0.0	0.0	0.0	0.0	0.0
0.008	7.155261141894378e-11	0.0	0.0	0.0	0.0	0.0	0.0
0.009000000000000001	8.049973120888583e-11	0.0	0.0	0.0	0.0	0.0	0.0
0.010000000000000002	8.944607524235421e-11	0.0	0.0	0.0	0.0	0.0	0.0
0.011	9.839196490531042e-11	0.0	0.0	0.0	0.0	0.0	0.0
0.012	1.0733757412201369e-10	0.0	0.0	0.0	0.0	0.0	0.0
0.013000000000000001	1.162830026467125e-10	0.0	0.0	0.0	0.0	0.0	0.0
0.014000000000000002	1.2522831050086157e-10	0.0	0.0	0.0	0.0	0.0	0.0
0.015	1.3417353528029467e-10	0.0	0.0	0.0	0.0	0.0	0.0
0.016	1.4311870135418358e-10	0.0	0.0	0.0	0.0	0.0	0.0
0.017	1.5206382499154822e-10	0.0	0.0	0.0	0.0	0.0	0.0
0.018000000000000002	1.6100891733668798e-10	0.0	0.0	0.0	0.0	0.0	0.0
0.019000000000000003	1.699539861980969e-10	0.0	0.0	0.0	0.0	0.0	0.0
0.02	1.7889903715776224e-10	0.0	0.0	0.0	0.0	0.0	0.0
0.021	1.8784407427808296e-10	0.0	0.0	0.0	0.0	0.0	0.0
0.022000000000000002	1.9678910056345444e-10	0.0	0.0	0.0	0.0	0.0	0.0
0.023	2.057341182683073e-10	0.0	0.0	0.0	0.0	0.0	0.0
0.024	2.146791291067574e-10	0.0	0.0	0.0	0.0	0.0	0.0
0.025	2.2362413439785844e-10	0.0	0.0	0.0	0.0	0.0	0.0
0.026000000000000002	2.3256913516788517e-10	0.0	0.0	0.0	0.0	0.0	0.0
0.027000000000000003	2.4151413222343555e-10	0.0	0.0	0.0	0.0	0.0	0.0
0.028	2.504591262043935e-10	0.0	0.0	0.0	0.0	0.0	0.0
0.029	2.594041176227863e-10	0.0	0.0	0.0	0.0	0.0	0.0
0.030000000000000002	2.6834910689162604e-10	0.0	0.0	0.0	0.0	0.0	0.0
0.031	2.772940943465484e-10	0.0	0.0	0.0	0.0	0.0	0.0
0.032	2.862390802622115e-10	0.0	0.0	0.0	0.0	0.0	0.0
0.033	2.9518406486483923e-10	0.0	0.0	0.0	0.0	0.0	0.0
0.034	3.041290483419006e-10	0.0	0.0	0.0	0.0	0.0	0.0
0.035	3.130740308496398e-10	0.0	0.0	0.0	0.0	0.0	0.0
0.036000000000000004	3.220190125189795e-10	0.0	0.0	0.0	0.0	0.0	0.0
0.037000000000000005	3.3096399346018186e-10	0.0	0.0	0.0	0.0	0.0	0.0
0.038	3.399089737665553e-10	0.0	0.0	0.0	0.0	0.0	0.0
0.039	3.48853953517419e-10	0.0	0.0	0.0	0.0	0.0	0.0
0.04	3.5779893278048996e-10	0.0	0.0	0.0	0.0	0.0	0.0
0.041	3.667439116138161e-10	0.0	0.0	0.0	0.0	0.0	0.0
0.042	3.756888900673488e-10	0.0	0.0	0.0	0.0	0.0	0.0
0.043000000000000003	3.8463386818423114e-10	0.0	0.0	0.0	0.0	0.0	0.0
0.044000000000000004	3.9357884600185595e-10	0.0	0.0	0.0	0.0	0.0	0.0
0.045	4.0252382355274066e-10	0.0	0.0	0.0	0.0	0.0	0.0
0.046	4.1146880086525295e-10	0.0	0.0	0.0	0.0	0.0	0.0
0.047	4.2041377796421596e-10	0.0	0.0	0.0	0.0	0.0	0.0
0.048	4.2935875487141414e-10	0.0	0.0	0.0	0.0	0.0	0.0
0.049	4.383037316060187e-10	0.0	0.0	0.0	0.0	0.0	0.0
0.05	4.472487081849462e-10	0.0	0.0	0.0	0.0	0.0	0.0
0.051000000000000004	4.5619368462316167e-10	0.0	0.0	0.0	0.0	0.0	0.0
0.052000000000000005	4.651386609339368e-10	0.0	0.0	0.0	0.0	0.0	0.0
0.053000000000000005	4.740836371290686e-10	0.0	0.0	0.0	0.0	0.0	0.0
0.054	4.830286132190679e-10	0.0	0.0	0.0	0.0	0.0	0.0
0.055	4.919735892133196e-10	0.0	0.0	0.0	0.0	0.0	0.0
0.056	5.009185651202205e-10	0.0	0.0	0.0	0.0	0.0	0.0
0.057	5.098635409472997e-10	0.0	0.0	0.0	0.0	0.0	0.0
0.058	5.188085167013201e-10	0.0	0.0	0.0	0.0	0.0	0.0
