mass[GeV]	QCD	chlep	neutrinos	total
0.001	0.0	0.0	0.0	0.0
0.002	0.0	1.7385596029043928e-11	0.0	1.7385596029043928e-11
0.003	0.0	2.6693775323868418e-11	0.0	2.6693775323868418e-11
0.004	0.0	3.57214283460516e-11	0.0	3.57214283460516e-11
0.005	0.0	4.469518071079948e-11	0.0	4.469518071079948e-11
0.006	0.0	5.365274009593254e-11	0.0	5.365274009593254e-11
0.007	0.0	6.260407761180411e-11	0.0	6.260407761180411e-11
0.008	0.0	7.155261141894378e-11	0.0	7.155261141894378e-11
0.009000000000000001	0.0	8.049973120888583e-11	0.0	8.049973120888583e-11
0.010000000000000002	0.0	8.944607524235421e-11	0.0	8.944607524235421e-11
0.011	0.0	9.839196490531042e-11	0.0	9.839196490531042e-11
0.012	0.0	1.0733757412201369e-10	0.0	1.0733757412201369e-10
0.013000000000000001	0.0	1.162830026467125e-10	0.0	1.162830026467125e-10
0.014000000000000002	0.0	1.2522831050086157e-10	0.0	1.2522831050086157e-10
0.015	0.0	1.3417353528029467e-10	0.0	1.3417353528029467e-10
0.016	0.0	1.4311870135418358e-10	0.0	1.4311870135418358e-10
0.017	0.0	1.5206382499154822e-10	0.0	1.5206382499154822e-10
0.018000000000000002	0.0	1.6100891733668798e-10	0.0	1.6100891733668798e-10
0.019000000000000003	0.0	1.699539861980969e-10	0.0	1.699539861980969e-10
0.02	0.0	1.7889903715776224e-10	0.0	1.7889903715776224e-10
0.021	0.0	1.8784407427808296e-10	0.0	1.8784407427808296e-10
0.022000000000000002	0.0	1.9678910056345444e-10	0.0	1.9678910056345444e-10
0.023	0.0	2.057341182683073e-10	0.0	2.057341182683073e-10
0.024	0.0	2.146791291067574e-10	0.0	2.146791291067574e-10
0.025	0.0	2.2362413439785844e-10	0.0	2.2362413439785844e-10
0.026000000000000002	0.0	2.3256913516788517e-10	0.0	2.3256913516788517e-10
0.027000000000000003	0.0	2.4151413222343555e-10	0.0	2.4151413222343555e-10
0.028	0.0	2.504591262043935e-10	0.0	2.504591262043935e-10
0.029	0.0	2.594041176227863e-10	0.0	2.594041176227863e-10
0.030000000000000002	0.0	2.6834910689162604e-10	0.0	2.6834910689162604e-10
0.031	0.0	2.772940943465484e-10	0.0	2.772940943465484e-10
0.032	0.0	2.862390802622115e-10	0.0	2.862390802622115e-10
0.033	0.0	2.9518406486483923e-10	0.0	2.9518406486483923e-10
0.034	0.0	3.041290483419006e-10	0.0	3.041290483419006e-10
0.035	0.0	3.130740308496398e-10	0.0	3.130740308496398e-10
0.036000000000000004	0.0	3.220190125189795e-10	0.0	3.220190125189795e-10
0.037000000000000005	0.0	3.3096399346018186e-10	0.0	3.3096399346018186e-10
0.038	0.0	3.399089737665553e-10	0.0	3.399089737665553e-10
0.039	0.0	3.48853953517419e-10	0.0	3.48853953517419e-10
0.04	0.0	3.5779893278048996e-10	0.0	3.5779893278048996e-10
0.041	0.0	3.667439116138161e-10	0.0	3.667439116138161e-10
0.042	0.0	3.756888900673488e-10	0.0	3.756888900673488e-10
0.043000000000000003	0.0	3.8463386818423114e-10	0.0	3.8463386818423114e-10
0.044000000000000004	0.0	3.9357884600185595e-10	0.0	3.9357884600185595e-10
0.045	0.0	4.0252382355274066e-10	0.0	4.0252382355274066e-10
0.046	0.0	4.1146880086525295e-10	0.0	4.1146880086525295e-10
0.047	0.0	4.2041377796421596e-10	0.0	4.2041377796421596e-10
0.048	0.0	4.2935875487141414e-10	0.0	4.2935875487141414e-10
0.049	0.0	4.383037316060187e-10	0.0	4.383037316060187e-10
0.05	0.0	4.472487081849462e-10	0.0	4.472487081849462e-10
0.051000000000000004	0.0	4.5619368462316167e-10	0.0	4.5619368462316167e-10
0.052000000000000005	0.0	4.651386609339368e-10	0.0	4.651386609339368e-10
0.053000000000000005	0.0	4.740836371290686e-10	0.0	4.740836371290686e-10
0.054	0.0	4.830286132190679e-10	0.0	4.830286132190679e-10
0.055	0.0	4.919735892133196e-10	0.0	4.919735892133196e-10
0.056	0.0	5.009185651202205e-10	0.0	5.009185651202205e-10
0.057	0.0	5.098635409472997e-10	0.0	5.098635409472997e-10
0.058	0.0	5.188085167013201e-10	0.0	5.188085167013201e-10
0.059000000000000004	0.0	5.277534923883689e-10	0.0	5.277534923883689e-10
0.060000000000000005	0.0	5.366984680139347e-10	0.0	5.366984680139347e-10
0.061	0.0	5.456434435829749e-10	0.0	5.456434435829749e-10
0.062	0.0	5.545884190999747e-10	0.0	5.545884190999747e-10
0.063	0.0	5.635333945689991e-10	0.0	5.635333945689991e-10
0.064	0.0	5.724783699937382e-10	0.0	5.724783699937382e-10
0.065	0.0	5.814233453775463e-10	0.0	5.814233453775463e-10
0.066	0.0	5.903683207234774e-10	0.0	5.903683207234774e-10
0.067	0.0	5.99313296034316e-10	0.0	5.99313296034316e-10
0.068	0.0	6.082582713126052e-10	0.0	6.082582713126052e-10
0.069	0.0	6.172032465606691e-10	0.0	6.172032465606691e-10
0.07	0.0	6.261482217806362e-10	0.0	6.261482217806362e-10
0.07100000000000001	0.0	6.350931969744577e-10	0.0	6.350931969744577e-10
0.07200000000000001	0.0	6.440381721439235e-10	0.0	6.440381721439235e-10
0.07300000000000001	0.0	6.529831472906794e-10	0.0	6.529831472906794e-10
0.074	0.0	6.619281224162393e-10	0.0	6.619281224162393e-10
0.075	0.0	6.708730975219975e-10	0.0	6.708730975219975e-10
0.076	0.0	6.798180726092396e-10	0.0	6.798180726092396e-10
0.077	0.0	6.887630476791524e-10	0.0	6.887630476791524e-10
0.078	0.0	6.977080227328326e-10	0.0	6.977080227328326e-10
0.079	0.0	7.066529977712946e-10	0.0	7.066529977712946e-10
0.08	0.0	7.155979727954776e-10	0.0	7.155979727954776e-10
