mass[GeV]	DM
0.001	2.4164777708607865e-05
0.002	4.832955541721573e-05
0.003	7.249433312582358e-05
0.004	9.665911083443146e-05
0.005	0.0001208238885430393
0.006	0.00014498866625164717
0.007	0.00016915344396025505
0.008	0.00019331822166886292
0.009000000000000001	0.00021748299937747077
0.010000000000000002	0.0002416477770860787
0.011	0.00026581255479468646
0.012	0.00028997733250329434
0.013000000000000001	0.00031414211021190227
0.014000000000000002	0.00033830688792051014
0.015	0.0003624716656291179
0.016	0.00038663644333772584
0.017	0.0004108012210463337
0.018000000000000002	0.00043496599875494154
0.019000000000000003	0.0004591307764635495
0.02	0.0004832955541721572
0.021	0.0005074603318807651
0.022000000000000002	0.000531625109589373
0.023	0.0005557898872979809
0.024	0.0005799546650065887
0.025	0.0006041194427151965
0.026000000000000002	0.0006282842204238045
0.027000000000000003	0.0006524489981324124
0.028	0.0006766137758410202
0.029	0.0007007785535496279
0.030000000000000002	0.0007249433312582358
0.031	0.0007491081089668438
0.032	0.0007732728866754517
0.033	0.0007974376643840594
0.034	0.0008216024420926674
0.035	0.0008457672198012753
0.036000000000000004	0.0008699319975098831
0.037000000000000005	0.0008940967752184911
0.038	0.0009182615529270987
0.039	0.0009424263306357068
0.04	0.0009665911083443144
0.041	0.0009907558860529227
0.042	0.0010149206637615302
0.043000000000000003	0.0010390854414701381
0.044000000000000004	0.001063250219178746
0.045	0.001087414996887354
0.046	0.0011115797745959617
0.047	0.0011357445523045694
0.048	0.0011599093300131774
0.049	0.0011840741077217853
0.05	0.001208238885430393
0.051000000000000004	0.0012324036631390011
0.052000000000000005	0.001256568440847609
0.053000000000000005	0.0012807332185562166
0.054	0.0013048979962648247
0.055	0.0013290627739734324
0.056	0.0013532275516820404
0.057	0.0013773923293906485
0.058	0.0014015571070992558
0.059000000000000004	0.001425721884807864
0.060000000000000005	0.0014498866625164716
0.061	0.0014740514402250798
0.062	0.0014982162179336875
0.063	0.0015223809956422954
0.064	0.0015465457733509034
0.065	0.001570710551059511
0.066	0.0015948753287681188
0.067	0.001619040106476727
0.068	0.0016432048841853349
0.069	0.0016673696618939426
0.07	0.0016915344396025505
0.07100000000000001	0.0017156992173111587
0.07200000000000001	0.0017398639950197661
0.07300000000000001	0.001764028772728374
0.074	0.0017881935504369818
0.075	0.0018123583281455895
